/dic,,,,,
/@from,/@to,/l/#id,/l/w/c,/l/w/d,/l/w/t
en,es,3,cogent,"irrefutable, irrebatible",{adj} (forcefully persuasive)
en,es,3,cogent,"convencedor, persuasivo",{adj} /?ko?d?n?t/ (reasonable and convincing; based on evidence)
en,es,3,cogitable,,{adj} (conceivable)
en,es,3,cogitate,cogitar,"{v} /?k??d??te?t/ (to meditate, to ponder, to think deeply)"
en,es,3,cognac,coñac {m},{n} /?k?njæk/ (type of brandy)
en,es,3,cognate,cognado {m},{adj} /?k??.ne?t/ (derived from the same roots)
en,es,3,cognate,cognado {m},{n} (word derived from the same roots as a given word)
en,es,3,cognitive,cognitivo,{adj} /?k?gn?t?v/ (mental functions)
en,es,3,cognitive psychology,psicología cognitiva {f},{n} (branch of psychology)
en,es,3,cognizant,consciente,{adj} /?k??n?z?nt/ (aware)
en,es,3,cognomen,cognomen {m},{n} /k???no?.m?n/ (nickname)
en,es,3,cognoscente,experto,{n} /?k??.n????n.ti/ (Someone possessing superior or specialized knowledge in a particular field; a connoisseur)
en,es,3,coherent,coherente,{adj} /ko??h?r?nt/ (sticking together)
en,es,3,coherent,coherente,"{adj} (of waves having the same direction, wavelength and phase)"
en,es,3,coherent,coherente,"{adj} (orderly, logical and consistent)"
en,es,3,cohesive,cohesivo,{adj} /?k??.h?i.s?v/ (having cohesion)
en,es,3,cohomology,cohomología {f},{n} (system)
en,es,3,cohomology,cohomología {f},{n} (theory)
en,es,3,cohort,cohorto {m},{n} (A colleague)
en,es,3,cohort,cohorte,{n} (division of Roman legion)
en,es,3,cohort,seguidores {m} {p},{n} /?ko??.h??t/ (group of people supporting the same thing or person)
en,es,3,co-husband,coesposo,{n}
en,es,3,cohyponym,cohipónimo {m},{n} (a word or phrase that shares the same hypernym as another word or phrase)
en,es,3,coiffure,,{n} (hairstyle)
en,es,3,coil,bobina {f},{n} (electrical)
en,es,3,coil,DIU {m},{n} (intra-uterine contraceptive device)
en,es,3,coil,"espiral {f}, hélice {f}",{n} /k??l/ (something wound)
en,es,3,coin,moneda {f},{n} /k??n/
en,es,3,coin,acuñar,{v} (to create coins)
en,es,3,coin,acuñar,"{v} (to make up or invent, and establish)"
en,es,3,coincide,coincidir,{v} (To correspond)
en,es,3,coincide,coincidir,{v} (To occupy exactly the same space)
en,es,3,coincide,coincidir,{v} (To occur at the same time)
en,es,3,coincidence,,{n} (coincidence point)
en,es,3,coincidence,coincidencia {f},"{n} (of objects, property of being coincident)"
en,es,3,coincidence,coincidencia {f},{n} (state of events appearing to be connected when they are not)
en,es,3,coinsurance,"participación propia {f}, franquicia {f}, coaseguro {m}, deducible {m}",{n} (joint assumption of risk between insurer and insured)
en,es,3,coinsurer,coasegurador {m},{n} (provider of coinsurance)
en,es,3,coitus,coito {m},{n} /?k??.t?s/ (sexual interaction)
en,es,3,coitus interruptus,coitus interruptus {m},{n} (sexual intercourse interrupted by withdrawal of the penis)
en,es,3,coke,coque {m},{n} (coal product)
en,es,3,coke,coca {f},{n} (short for cocaine)
en,es,3,cola,cola {f},{n} /?ko?l?/ (drink)
en,es,3,cola,cola {f},{n} (plant)
en,es,3,colander,"colador {m}, escurridor {m}",{n} /?k?l?nd?r/ (a bowl-shaped kitchen utensil with holes in it used for draining food such as pasta)
en,es,3,Colchis,"Cólquide {f}, Cólquida {f}",{prop} (ancient region and kingdom)
en,es,3,cold,frío {m},{adj} /ko?ld/ (having a low temperature)
en,es,3,cold,"resfriado {m}, constipación {f}, gripe {f}, gripa {f}",{n} (illness)
en,es,3,cold,frío {m},{n} (low temperature)
en,es,3,cold as ice,"frígido, gélido",{adj} (very cold)
en,es,3,cold calling,puerta fría {f},{n} (unsolicited sales call)
en,es,3,cold cuts,"fiambre {m}, [when in a sandwich] companaje {m}, cecina {f}, embutido {m}",{n} (meat)
en,es,3,cold dark matter,materia oscura fría {f},{n} (cold dark matter)
en,es,3,cold front,frente frío {m},{n} (leading edge of an advancing mass of cold air)
en,es,3,cold fusion,fusión fría {f},{n} (hypothetical form of nuclear fusion)
en,es,3,coldly,fríamente,{adv} (In a cold manner)
en,es,3,cold meat,"embutido {m}, fiambre {m}",{n} (cold cooked meats)
en,es,3,coldness,frialdad {f},{n} (limited enthusiasm or affection)
en,es,3,coldness,frío {m},{n} (the relative lack of heat)
en,es,3,coldness,frío {m},{n} (the sensation)
en,es,3,cold war,guerra fría {f},{n} (a period of hostile relations)
en,es,3,Cold War,Guerra Fría {f},{prop} (a period of history from 1945-1991)
en,es,3,cold wave,ola de frio,{n} (considerable fall in temperature)
en,es,3,cole,col {f},{n} (brassica)
en,es,3,cole,,{n} /k??l/ (cabbage)
en,es,3,colectomy,colectomía {f},{n} (surgical procedure)
en,es,3,coleslaw,"curtida {f} [El Salvador], ensalada de repollo {f}",{n} /?k??lsl??/ (a salad)
en,es,3,colewort,col silvestre {m},{n} (kale)
en,es,3,colic,cólico {m},{n} (pain)
en,es,3,Colima,Colima {f},{prop} (state of Mexico)
en,es,3,collaborate,colaborar,{v} /k??læb??e?t/ (to work together on a piece of work)
en,es,3,collaborate,colaborar,{v} (to cooperate treasonably)
en,es,3,collaboration,colaboración {f},{n} /k??læb??re???n/ (act of collaborating)
en,es,3,collaborator,colaborador {m},{n} (a person who collaborates)
en,es,3,collage,collage {m},{n} /k??l??/ (picture made by sticking other pictures onto a surface)
en,es,3,collagen,colágeno {m},{n} /?k?l?d??n/ (glycoprotein that forms elongated fibers)
en,es,3,collapse,colapso {m},{n} (act of collapsing)
en,es,3,collapse,"derrumbarse, desplomarse",{v} (to cease to function due to a sudden breakdown)
en,es,3,collapse,"derrumbarse, desplomarse",{v} (to fall down suddenly; to cave in)
en,es,3,collapse,colapsar,{v} (to fold compactly)
en,es,3,collapsible,plegable,{adj} (that can be collapsed)
en,es,3,collar,collar {m},{n} (chain worn around the neck)
en,es,3,collar,collar {m},{n} (device for restraining animal)
en,es,3,collar,cuello {m},{n} (fabric garment part fitting around throat)
en,es,3,collar,,{v} (to arrest)
en,es,3,collarbone,clavícula {f},{n} (the bone joining the shoulder and the breastbone)
en,es,3,collard greens,col verde {f},{n} (plant)
en,es,3,collared antshrike,batará collarejo,{n} (passerine bird)
en,es,3,collared dove,tórtola turca {f},{n} (collared dove)
en,es,3,collared peccary,"pecarí de collar {m}, chácharo {m}, chancho rosillo {m}, saíno {m}, sajino {m}",{n} (mammal)
en,es,3,collateral,aval,{n} /k??læt???l/
en,es,3,colleague,"colega {m} {f}, compañero {m}",{n} (fellow member of a profession)
en,es,3,collect,"juntar, recoger, reunir",{v} /?k?l?kt/ (to gather together)
en,es,3,collect,coleccionar,{v} (to accumulate items for a hobby)
en,es,3,collection,"recogida {f}, recolección {f}",{n} (activity of collecting)
en,es,3,collection,conjunto {m},{n}
en,es,3,collection,colección {f},{n} /k??l?k??n/ (set of items)
en,es,3,collection,"colección {f}, conjunto {m}",{n} (multiple related objects)
en,es,3,collective,colectivo,{adj} (in grammar)
en,es,3,collective agreement,contrato colectivo de trabajo {m},{n} (contract on terms and conditions of employment)
en,es,3,collective noun,"sustantivo colectivo {m}, nombre colectivo {m}",{n} (noun referring to a group of similar things)
en,es,3,collective unconscious,inconsciente colectivo {m},{n} (experience of human species)
en,es,3,collectivism,colectivismo {m},{n} (An system in which the means are owned and controlled by people collectively)
en,es,3,collector,coleccionista {m} {f},{n} (person or thing that collects)
en,es,3,college,facultad {f},{n} /?k?l?d?/ (specialized division of a university)
en,es,3,collide,chocar,"{v} /k??l??d/ (to impact directly, especially if violent)"
en,es,3,collider,colisionador {m},{n} (particle accelerator)
en,es,3,colligative,coligativo,{adj} (property)
en,es,3,collision,colisión {f},{n} (instance of colliding)
en,es,3,collocation,colocación {f},{n} /?k?lo??ke???n/ (grouping of words that commonly occur together)
en,es,3,colloid,coloide {m},{n} /?k?l??d/ (stable system of two phases)
en,es,3,colloquial,"coloquial, familiar",{adj} /k??lo?.kwi?l/ (of oral communication language)
en,es,3,colloquialism,"expresión coloquial {f}, vulgarismo {m}",{n} (an expression more often spoken than written)
en,es,3,colloquially,coloquialmente,{adv} (in a colloquial manner)
en,es,3,collusion,colusión {f},{n} /k??lu???n/ (conspiracy)
en,es,3,colocynth,"coloquíntida {f}, tuera {f}",{n} /k?l.??s?n?/ (plant or fruit of the)
en,es,3,cologne,agua de Colonia {f},{n} (eau de Cologne)
en,es,3,Cologne,Colonia {f},{prop} (city in Germany)
en,es,3,Colombia,Colombia {f},{prop} /k??l?m.bi.?/ (country in South America)
en,es,3,Colombian,colombiano,{adj} (pertaining to Colombia)
en,es,3,Colombian,"colombiano {m}, colombiana {f}",{n} (A person from Colombia)
en,es,3,Colombianism,colombianismo {m},{n}
en,es,3,Colombian necktie,carte de corbata,{n} (violent and intimidating method of execution)
en,es,3,Colombo,Colombo {m},{prop} /k??l?m.b??/ (capital of Sri Lanka)
en,es,3,colon,colon {m},{n} (digestive system)
en,es,3,colon,dos puntos {m} {p},{n} (punctuation mark)
en,es,3,colonel,coronel {m},{n} /?k?n?l/ (commissioned office in the armed services)
en,es,3,colonial,colonial,{adj} /k??l??.ni.?l/ (Of or pertaining to a colony)
en,es,3,colonialism,colonialismo {m},{n} (colonial domination policy)
en,es,3,colonise,colonizar,{v} (to begin a new colony)
en,es,3,colonist,"colono {m}, colona {f}",{n} /k?l?n?st/ (a founder of a colony)
en,es,3,colonization,colonización {f},{n} (process of establishing a colony)
en,es,3,colonnade,columnata {f},{n} (a series of columns at regular intervals)
en,es,3,colony,colonia {f},{n} /?k?l?ni?/ (region or governmental unit)
en,es,3,colophony,,{n} (rosin)
en,es,3,coloproctology,colonproctología {f},{n} (branch of medicine)
en,es,3,color,color {m},{n}
en,es,3,color,color {f},{n} /?k?l.?/ (spectral composition of visible light)
en,es,3,color,ponerse colorado,{v} (become red through increased blood flow)
en,es,3,color,colorear,{v} (draw using crayons)
en,es,3,color,"colorar, colorear, teñir",{v} (give something color)
en,es,3,colorable,,{adj} (colourable)
en,es,3,Colorado,Colorado {m},{prop} /k?l??rædo?/ (US state)
en,es,3,colorblind,,{adj} (colour blind)
en,es,3,color blindness,daltonismo {m},{n} (condition in which the ability to see colors is impaired)
en,es,3,colored,coloreado,{adj} /?k?l??d/
en,es,3,colorful,"lleno {m}, de color","{adj} (interesting, multifaceted)"
en,es,3,colorful,"lleno {m}, de color, lleno de color",{adj} (possessing prominent and varied colors)
en,es,3,colorful,florido,{adj} (profane)
en,es,3,colorimetry,colorimetría {f},{n} (science of measuring colours and assigning them numeric values)
en,es,3,coloring,coloración {f},{n} (act or process)
en,es,3,coloring,decoloración {f},{n} (disguise or discoloration)
en,es,3,colossus,coloso {m},{n} (a statue of gigantic size)
en,es,3,colossus,coloso {m},{n}
en,es,3,Colossus of Rhodes,coloso de Rodas {m},{prop} (the statue of Helios)
en,es,3,colostrum,calostro {m},{n} /k??l?st??m/ (a form of milk)
en,es,3,colour,,{adj} (colour)
en,es,3,colour,,{n} /?k?l.?/ (colour)
en,es,3,colour,,{v} (colour)
en,es,3,colour blind,daltónico,{adj} (unable to distinguish between two or more primary colors)
en,es,3,colour blindness,,{n} (color blindness)
en,es,3,coloured,coloreado,{adj}
en,es,3,colourful,"lleno {m}, de color","{adj} (interesting, multifaceted)"
en,es,3,colourful,"lleno {m}, de color",{adj} (possessing prominent and varied colours)
en,es,3,colourless,incoloro,{adj} /?k?l?(?).l?s/ (having no colour)
en,es,3,colposcope,colpóscopo,{n} /?k?lp?sk??p/ (a form of endoscope)
en,es,3,colt,"potranco {m}, potro {m}",{n} (young male horse)
en,es,3,coltsfoot,"tusilago {m}, fárfara {f}, pie de caballo {m}, uña de caballo {f}",{n} (plant)
en,es,3,colubrid,"colúbrido {m}, culebra {m}",{n} (snake in the family Colubridae)
en,es,3,colugo,"colugo {m}, lémur volador, dermóptero {m}",{n} /k??lu??o?/ (arboreal gliding mammal)
en,es,3,Columba,Columba,{prop} (constellation)
en,es,3,columbine,"colombina {f}, aguileña",{n} /?k?l?mb??n/ (any plant of the genus Aquilegia)
en,es,3,columella,columela {f},{n} (any of various small structures in plants or animals)
en,es,3,columella,columela {f},{n} (central sterile portion of the sporangium)
en,es,3,columella,columela {f},{n} (skin at the end of the septum)
en,es,3,column,columna {f},{n} (column of troops)
en,es,3,column,columna {f},{n} /?k??l?m/ (upright supporting member)
en,es,3,column,columna {f},{n} (newspaper column)
en,es,3,column,columna {f},{n} (something having similar form or structure to the things mentioned above)
en,es,3,column,columna {f},{n} (vertical line of entries in a table)
en,es,3,columnist,columnista {m} {f},{n} (regular writer of a column)
en,es,3,colza,colza {f},{n} (cabbage variety)
en,es,3,coma,coma {m},{n} /?ko?m?/ (Deep sleep)
en,es,3,Comanche,comanche {m},{prop} (Amerind ethnic group)
en,es,3,Comanche,comanche {m},{prop} (Amerind language)
en,es,3,comb,cresta {f},{n} (fleshy growth on the top of the head of some birds and reptiles)
en,es,3,comb,peine {m},{n} /k??m/ (toothed implement for grooming the hair)
en,es,3,comb,"peinar, peinarse",{v} (to groom the hair with a toothed implement)
en,es,3,comb,peinar,{v} (to search thoroughly as if raking over an area with a comb)
en,es,3,combat,"batalla {f}, acción {f}",{n} (a battle; a fight; a struggle for victory)
en,es,3,combatant,combatiente {m} {f},{n} (armed fighter)
en,es,3,combative,combativo,{adj} /?k?m.b?.t?v/ (given to fighting)
en,es,3,combination,combinación {f},{n} /k?mb??ne???n/ (act of combining)
en,es,3,combinatorics,combinatoria {f},{n} (a branch of mathematics)
en,es,3,combine,"unir, juntar",{v} (have two or more things or properties that function together)
en,es,3,combine,"combinar, juntar, unir",{v} /?k?m.ba?n/ (bring (two or more things or activities) together)
en,es,3,combover,"peinado tapacalva {m}, tapacalva {m}",{n} (A manner of combing hair to conceal a bald spot)
en,es,3,combustible,combustible,{adj} (capable of burning)
en,es,3,combustible,combustible {m},{n} (material capable of burning)
en,es,3,combustion,"combustión {f}, oxidación {f}",{n} (process wherein a fuel is combined with oxygen)
en,es,3,combustion,reacción química {f},{n} (similar process where two chemicals are combined)
en,es,3,combustion,"combustión {f}, quemado {m}",{n} (the act or process of burning)
en,es,3,combustion,"revuelta {f}, tumulto {m}, vorágine {f}","{n} (violent agitation, commotion)"
en,es,3,come,venir,{v} /k?m/ (to move from further away to nearer to)
en,es,3,come,correrse,{v} (to orgasm)
en,es,3,come again,¿perdón?,{v} (Could you repeat that)
en,es,3,come again,"será un placer volver a verle, vuelva pronto","{v} (polite farewell, inviting return visit)"
en,es,3,come back,"volver, regresar",{v}
en,es,3,come by,visitar,{v} (to pass or visit)
en,es,3,comedian,humorista {m} {f},{n} /k??mi?di?n/ (entertainer)
en,es,3,comedy,comedia {f},{n} (dramatic work that is light and humorous or satirical in tone)
en,es,3,come in,,{v} /k?m ??n/ (enter)
en,es,3,comely,lindo,{adj} /?k?mli/ (pleasing or attractive to the eye)
en,es,3,come on,¡por favor!,{interj} (expression of disbelief)
en,es,3,come on,vamos,{interj} (expression of encouragement)
en,es,3,come on,"vamos, andando",{interj} (hurry up)
en,es,3,come on,,{n} /?k?m ??n/ (come-on)
en,es,3,come on,pinchar con alguien,{v} (to show sexual or relational interest)
en,es,3,come on to,[Spain] tirar los tejos,{v} (make a romantic or sexual advance to)
en,es,3,come out,,{v} (to come out of the closet)
en,es,3,come out of the closet,"salir del closet, salir del armario",{v} (to tell others about a secret belief or preference)
en,es,3,comer,"puntero {m}, delantero {m}, puntera {f}, delantera {f}",{n} (in a race)
en,es,3,comer,"puntero {m}, delantero {m}, puntera {f}, delantera {f}",{n} (in some contest)
en,es,3,comer,"contendiente {m}, el que llega {m}, la que llega {f}",{n} (who arrives)
en,es,3,comestible,"comestible, comible [colloquial]",{adj} /k??m?st?b(?)l/ (suitable to be eaten; edible)
en,es,3,comet,cometa {m},"{n} /?k?m?t/ (a celestial body, generally with a tail)"
en,es,3,come together,juntarse,"{v} (to assemble, congregate)"
en,es,3,come to mind,,{v} (spring to mind)
en,es,3,come to nothing,no servir para nada,{v} (fail; have no result)
en,es,3,come to nought,,{v} (come to nothing)
en,es,3,come to terms with,llegar a buenos términos,{v} (to resolve a conflict with)
en,es,3,come up,suceder,"{v} (to emerge, become known)"
en,es,3,comeuppance,merecido,{n} /k?m??p?ns/ (an outcome which is justly deserved)
en,es,3,comfort,comodidad,{n}
en,es,3,comfort,consuelo {m},{n} (consolation)
en,es,3,comfort,comodidad {f},"{n} /?k?m.f?t/ (contentment, ease)"
en,es,3,comfort,,{v} (console)
en,es,3,comfortable,"confortable, cómodo",{adj}
en,es,3,comfortable,confortable,{adj} /?k?m.ft?.b?l/ (providing comfort and ease; agreeable)
en,es,3,comfortably,cómodamente,{adv} (in a comfortable manner)
en,es,3,comforting,"consolador, reconfortante",{adj} (giving comfort)
en,es,3,comic relief,relevación cómica {f},{n} (inclusion of a humorous character or scene)
en,es,3,comic strip,tira cómica {f},{n} (a series of illustrations)
en,es,3,coming,venida,{n} (act of arriving; an arrival)
en,es,3,comitative case,caso comitativo {m},{n} (case used to denote companionship)
en,es,3,comitology,comitología,{n} (art of resolving issues by committees)
en,es,3,comma,coma {f},"{n} /?k?m.?/ (Punctuation mark ',')"
en,es,3,command,"orden {f}, mandato {m}",{n} /k??mænd/ (order)
en,es,3,command,mando {m},{n}
en,es,3,commander,comandante {m},{n} (One who exercises control and direction of a military or naval organization)
en,es,3,commander,comandante {m},{n} (One who exercises control and direction over a group of persons)
en,es,3,Commander Islands,islas del Comandante {f} {p},{prop} (Russian islands in the Bering Sea)
en,es,3,commandment,mandamiento {m},{n} (a command or edict)
en,es,3,commemoration,conmemoración {f},{n} (act of commemorating)
en,es,3,commence,comenzar,"{v} /k??m?ns/ (To begin, start)"
en,es,3,commencement,"inicio {m}, incoación {f}",{n} (an act of commencing or beginning)
en,es,3,commendable,"alabable, loable, encomiable",{adj} (worthy of commendation)
en,es,3,commendably,loablemente,{adv} (in a commendable manner)
en,es,3,commendation,"[archaic] comendación {m}, encomio {m}, recomendación {f}",{n} (act of commending; praise)
en,es,3,commensal,comensal,{adj} (of a form of symbiosis)
en,es,3,commensal,comensal,{n} (organism partaking in a commensal relationship)
en,es,3,commensalism,comensalismo {m},{n} (sharing of the same environment)
en,es,3,commensurate,adecuado,{adj} /k??men????t/ (proportionate; of a similar measurable standard)
en,es,3,comment,comentario {m},{n} /?k?m?nt/ (spoken remark)
en,es,3,comment,comentario {m},{n} (programming: remark not affecting behavior)
en,es,3,comment,comentar,{v}
en,es,3,comment,comentar,{v} (to remark)
en,es,3,comment out,comentar,{v} (temporarily disable a section of source code)
en,es,3,commerce,comercio {m},{n} (large scale trade)
en,es,3,commercial,"anuncio {m}, comercial {m}",{n} (advertisement in a common media format)
en,es,3,commercial at,arroba {f},{n}
en,es,3,commercially,comercialmente,{adv} (in a commercial manner)
en,es,3,commie,,{n} (communist)
en,es,3,commission,comisión {f},{n} (fee charged)
en,es,3,commission,comisión {f},{n} /k??m???n/ (body of officials)
en,es,3,commission,encargar,{v} (order a work of art)
en,es,3,commit,cometer,{v} /k??m?t/ (to do; to perpetrate)
en,es,3,commitment,compromiso {m},"{n} (act or instance of committing, putting in charge, keeping, or trust)"
en,es,3,commitment,"compromiso {m}, promesa {f}, acuerdo {m}",{n} (promise or agreement to do something in the future)
en,es,3,commit suicide,suicidarse,{v} (to kill oneself)
en,es,3,committee,comité {m},{n} /k?m??ti?]/ (group of persons convened for the accomplishment of some specific purpose)
en,es,3,commit to memory,memorizar,{v} (to learn by heart)
en,es,3,commo,,{n} (commie)
en,es,3,commo,,{n} (communication)
en,es,3,commo,,{n} (communist)
en,es,3,commodity,"bien {m}, artículo de consumo {m}",{n} /k??m??d?ti/ (anything movable traded)
en,es,3,common,común,{adj} (found in large numbers or in a large quantity)
en,es,3,common,común,{adj} /?k?m?n/ (mutual)
en,es,3,common,común,{adj} (ordinary)
en,es,3,common,común,{adj} (usual)
en,es,3,common alder,,{n} (black alder)
en,es,3,commonality,,{n} /k?m??nal?ti/ (common people)
en,es,3,common ash,fresno común {m},{n}
en,es,3,common bean,"caraota {f} [Venezuela], chícharo {m} [Southern Spain - specifically Seville and Cordoba], fréjol {m} [Bolivia, Ecuador, Peru], fríjol {m} [Colombia], frijol {m} [Costa Rica, Cuba, El Salvador, Guatemala, Honduras, Mexico, Nicaragua], habichuela {f} [Spain's Costa del Sol, Dominican Republic, Puerto Rico], habilla {f} [Paraguay], judía {f} [Spain standard usage], poroto {m} [Argentina, Chile, Panama, Uruguay]",{n} (plant)
en,es,3,common dandelion,diente de león {m},{n} (most common and well-known dandelion)
en,es,3,commoner,plebeyo,{n} (A member of the common people)
en,es,3,Common Era,"era común {f}, era vulgar {f}",{prop} (secular equivalent of anno Domini and the Christian Era)
en,es,3,Common Germanic,,{prop} (Proto-Germanic)
en,es,3,common gull,gaviota {f},{n} /?k??m?n ???l/
en,es,3,common hepatica,"hepática {f}, hierba del hígado {f}",{n}
en,es,3,common kestrel,cernícalo común {m},{n} (small falcon)
en,es,3,common lavender,lavanda fina {f},{n}
en,es,3,common loon,,{n} (great northern diver)
en,es,3,commonly,comúnmente,{adv} (as a rule; frequently; usually)
en,es,3,Common Market,Mercado Común,{prop} (former name of the European Economic Community)
en,es,3,common marmoset,tití común {m},{n} (New World monkey)
en,es,3,common name,nombre común {m},{n} (a name by which a species is known to the general public)
en,es,3,common noun,"nombre común {m}, sustantivo común {m}",{n} (Not a particular object like a proper noun. Is in a large group with the others of its kind.)
en,es,3,common quail,codorniz común {f},{n} (bird in the pheasant family)
en,es,3,commons,Procomún,{n}
en,es,3,common sense,sentido común {m},{n} (ordinary understanding)
en,es,3,common shrew,musaraña bicolor {f},{n}
en,es,3,Common Slavonic,protoeslavo {m},{prop} (Old Slavonic language)
en,es,3,common time,,{n} (4/4)
en,es,3,commonwealth,"comunidad {f}, mancomunidad {f}",{n} /?k?m?n?w?l?/ (form of government)
en,es,3,Commonwealth,,{prop} (Commonwealth of Australia)
en,es,3,Commonwealth,,{prop} (Commonwealth of Nations)
en,es,3,Commonwealth of Australia,Mancomunidad de Australia {f},{prop} (formal and full name of Australia)
en,es,3,Commonwealth of Independent States,"Comunidad de Estados Independientes {f}, CEI",{prop} (successor to the Soviet Union)
en,es,3,common whitefish,"farra {f}, lavareto {m}",{n}
en,es,3,commotion,conmoción {f},{n} /k??mo?.??n/ (state of turbulent motion)
en,es,3,communicable,comunicable,{adj} (able to be transmitted between people or species)
en,es,3,communicate,comunicar,{v} /k??mjun?ke?t/
en,es,3,communication,comunicación {f},{n} /k??mjun??ke???n/
en,es,3,communicative,comunicativo,{adj} (which tends to eagerly and effectively communicate)
en,es,3,communicator,"comunicador {m}, comunicadora {f}",{n} (one who communicates)
en,es,3,communion,comunión {f},{n} (a joining together of minds or spirits)
en,es,3,communism,comunismo {m},{n} /?k?m.ju?n?zm?/ (philosophy)
en,es,3,communism,comunismo {m},{n} (society)
en,es,3,communist,comunista,{adj} (of or relating to communism)
en,es,3,communist,comunista {m} {f},{n} (person who follows a communist philosophy)
en,es,3,Communist,,{adj} (communist)
en,es,3,Communist,,{n} (communist)
en,es,3,Communist Party of China,"Partido Comunista de China {m}, PCCh {m}",{prop} (ruling party of PRC)
en,es,3,community,comunidad {f},{n}
en,es,3,community,comunidad {f},{n} /k(?)?mjun?ti/ (group of people sharing a common understanding)
en,es,3,commutative,conmutativo,{adj}
en,es,3,commutativity,conmutatividad {f},"{n} (mathematics, physics: The state of being commutative.)"
en,es,3,commute,"pendular, [to work] viajar al trabajo, [from work] viajar del trabajo",{v} /k??mju?t/ (to regularly travel)
en,es,3,commute,conmutar,{v} (math: to engage in a commutative operation)
en,es,3,commuter,"viajero diario {m}, trabajador pendular {m}, migrante pendular {m}, viajero pendular {m}, cercanista {m} {f}",{n} (a person who regularly travels to work)
en,es,3,commuter rail,tren interurbano {m},{n} (railway)
en,es,3,commuting,conmutaje,{n} (travel between home and workplace)
en,es,3,Como,Como,{prop} (City and capital of Como)
en,es,3,Comoran,,{adj} (Comorian)
en,es,3,Comoran,,{n} (Comorian)
en,es,3,Comorian,comorense,{adj} (pertaining to the Comoros)
en,es,3,Comorian,comorense,{n} (person)
en,es,3,Comoros,Comores,{prop} /?kam.?.?o?z/ (country in Eastern Africa)
en,es,3,co-mother-in-law,consuegra {f},{n} (mother of one's son- or daughter-in-law)
en,es,3,compact,compacto,{adj} (closely packed)
en,es,3,compact,acuerdo {m},{n} /?k?mpækt/ (agreement or contract)
en,es,3,compact,compactar,{v} (make more dense)
en,es,3,compact disc,disco compacto {m},{n} (optical disc used to store data)
en,es,3,compact disk,,{n} (CD)
en,es,3,compactness,compacidad {f},{n} (state of being compact)
en,es,3,companion,"compañero {m}, compañera {f}",{n} (someone with whom one spends time or keeps company)
en,es,3,company,compañía {f},{n} (group of individuals with a common purpose)
en,es,3,company,empresa {f},"{n} /?k?mp?ni/ (in legal context, a corporation)"
en,es,3,comparable,comparable,{adj} /k?m?pæ??b?l/ (able to be compared)
en,es,3,comparable,,{adj} (similar)
en,es,3,comparative,comparativo {m},{n} /k?m?pæ?.?.t?f/ (grammatical construction)
en,es,3,comparative,comparativo {m},{n} (word in comparative form)
en,es,3,compare,comparar,{v} /k?m?p??/ (to assess the similarities between two things or between one thing and another)
en,es,3,comparison,comparación {f},{n} (evaluation of the similarities and differences of two (or more) things)
en,es,3,comparison,comparación {f},{n} /k?m?pæ??s?n/ (act of comparing or the state of being compared)
en,es,3,comparison,comparación {f} [rethoric],{n} (state of being similar or alike)
en,es,3,compartment,compartimiento {m},{n} (chamber)
en,es,3,compartment,compartimiento {m},{n} (part into which an area is subdivided)
en,es,3,compass,"área {f}, ámbito {m}, alcance {m}",{n} (area)
en,es,3,compass,brújula {f},{n} /?k?m.p?s/ (navigational compass)
en,es,3,compass,,{n} (pair of compasses)
en,es,3,compassion,compasión {f},{n} /k?m?pæ?.?n/ (deep awareness of the suffering of another)
en,es,3,compassionate,compasivo,"{adj} /k?m?pa??n?t/ (having, feeling of showing compassion)"
en,es,3,compass point,punto cardinal {m},{n} (any of the horizontal directions indicated on a compass)
en,es,3,compatible,compatible,{adj} (capable of easy interaction)
en,es,3,compatriot,compatriota {m} {f},{n} (fellow countryman)
en,es,3,compel,"obligar, forzar","{v} /k?m?p?l/ (force, constrain or coerce)"
en,es,3,compendium,compendio {m},"{n} (short, complete summary)"
en,es,3,compensatory lengthening,alargamiento compensatorio {m},{n} (lengthening of a vowel which occurs when a following consonant is lost)
en,es,3,compete,competir,{v} /k?m.?pi?t/ (to contend)
en,es,3,competency,"capacidad {f}, cualidades {f} {p}, competencia {f}",{n} /?k?mp?t?nsi/
en,es,3,competent,"competente, competentes {p}",{adj} (Skilled)
en,es,3,competently,competentemente,{adv} (in a competent manner)
en,es,3,competition,competencia {f},{n} (contest for a prize or award)
en,es,3,competition,competición {f},{n} /?k??mp??t???n/ (action of competing)
en,es,3,competitive,competitivo {m},{adj} (economics: capable of competing successfully)
en,es,3,competitor,competidor {m},{n}
en,es,3,compilator,,{n} (compiler)
en,es,3,compile,compilar,{v} /k?mp??l/ (assemble from a collection)
en,es,3,compile,compilar,{v} (produce executable)
en,es,3,compiler,compilador,{n} /k?m?pa?.l?/
en,es,3,complacency,suficiencia,{n} (feeling)
en,es,3,complain,quejarse,{v}
en,es,3,complain,quejarse,"{v} (to express feelings of pain, dissatisfaction, or resentment)"
en,es,3,complaint,problema {m},{n} (a bodily disorder or disease; the symptom of such a disorder)
en,es,3,complaint,queja {f},"{n} /k?m?ple?nt/ (a grievance, problem, difficulty, or concern; the act of complaining)"
en,es,3,complaisant,complaciente,{adj} /k?m?ple?s?nt/ (willing to do what pleases others)
en,es,3,compleat,,{adj} (complete)
en,es,3,compleat,,{v} (complete)
